Provincia,Latitud,Longitud
Buenos Aires,-36.6769,-60.5588
Capital Federal,-34.6037,-58.3816
Catamarca,-28.4696,-65.785
Chaco,-26.3869,-60.7658
Chubut,-43.7886,-68.5197
Córdoba,-31.4201,-64.1888
Corrientes,-28.7816,-57.9388
Entre Ríos,-32.0584,-59.2012
Formosa,-26.1775,-58.1781
Jujuy,-24.1858,-65.2995
La Pampa,-37.1305,-64.321
La Rioja,-29.4131,-66.8558
Mendoza,-32.8894,-68.8458
Misiones,-26.8754,-54.6511
Neuquén,-38.9516,-68.0591
Río Negro,-40.4058,-67.2293
Salta,-24.7821,-65.4232
San Juan,-31.5375,-68.5364
San Luis,-33.7578,-66.0289
Santa Cruz,-50.133,-68.49
Santa Fe,-31.6107,-60.6973
Santiago del Estero,-27.7828,-63.2524
Tierra del Fuego,-54.8019,-68.303
Tucumán,-26.8083,-65.2176
